job_id,job,location,work_type,full_time_remote,no_of_application,posted_day_ago,role_category,skills_found
3471657636,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Delhi, Delhi, India",Remote,Full-time · Associate,200.0,8 hours,Data Analyst,['Excel']
3471669068,"Data Analyst, Trilogy (Remote) - $60,000/year USD","New Delhi, Delhi, India",Remote,Full-time · Associate,184.0,8 hours,Data Analyst,['Excel']
3474349934,Data Analyst - WFH,Greater Bengaluru Area,Remote,Full-time · Mid-Senior level,200.0,9 hours,Data Analyst,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3472816027,Data Analyst,"Gurugram, Haryana, India",On-site,Full-time,200.0,7 hours,Data Analyst,"['Python', 'SQL', 'Excel', 'Statistics', 'Machine Learning']"
3473311511,Data Analyst,"Mohali district, Punjab, India",On-site,Full-time,8.0,26 minutes,Data Analyst,"['SQL', 'Statistics']"
3472504479,Data Analyst,"Gurugram, Haryana, India",On-site,Full-time · Entry level,200.0,10 hours,Data Analyst,"['SQL', 'Excel', 'Tableau', 'Power BI']"
3471658510,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Bengaluru, Karnataka, India",Remote,Full-time · Associate,200.0,8 hours,Data Analyst,['Excel']
3467356873,Sr Data Analyst -Data Governance / Collibra,India,Remote,Full-time · Mid-Senior level,20.0,10 hours,Data Analyst,"['SQL', 'AWS', 'Azure']"
3463535172,Sr Business Data Analyst (PowerBi)- Remote Work,India,Remote,Full-time · Mid-Senior level,200.0,2 hours,Data Analyst,"['SQL', 'Excel', 'Tableau', 'Power BI']"
3467845449,Artificial Intelligence (AI) Machine Learning Intern,"Coimbatore, Tamil Nadu, India",On-site,Full-time,17.0,37 minutes,AI / ML Engineer,"['Python', 'A/B Testing', 'Machine Learning']"
3474343937,ML Engineer - WFH,India,Remote,Full-time · Mid-Senior level,139.0,9 hours,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3466189314,Sap Business Intelligence Analyst,India,Remote,Full-time,52.0,1 day,Data Analyst,"['Excel', 'LLMs']"
3467357110,Data Scientist,"Bengaluru, Karnataka, India",On-site,Full-time · Associate,200.0,11 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning', 'Deep Learning', 'LLMs', 'Spark']"
3467354459,Data Scientist,"Chennai, Tamil Nadu, India",On-site,Full-time · Associate,175.0,11 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning', 'Deep Learning', 'LLMs', 'Spark']"
3467396789,Data Scientist,India,Remote,,,4 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Statistics', 'A/B Testing', 'Machine Learning']"
3471657636,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Delhi, Delhi, India",Remote,Full-time · Associate,200.0,9 hours,Data Analyst,['Excel']
3471669068,"Data Analyst, Trilogy (Remote) - $60,000/year USD","New Delhi, Delhi, India",Remote,Full-time · Associate,,9 hours,Data Analyst,['Excel']
3473575313,Senior Data Analyst  | WFH,"Thiruvananthapuram, Kerala, India",Remote,Full-time · Mid-Senior level,68.0,1 day,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3473575066,Senior Associate - Data Analyst,"Hyderabad, Telangana, India",Remote,Full-time · Mid-Senior level,147.0,1 day,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3473571822,Senior Data Analyst  | WFH,"Bhopal, Madhya Pradesh, India",Remote,Full-time · Mid-Senior level,,1 day,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3467361186,Senior Data Analyst,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,,11 hours,Data Analyst,"['Excel', 'Power BI', 'LLMs', 'AWS', 'Azure']"
3463744088,Data Analyst,"Bangalore Urban, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,1 day,Data Analyst,"['SQL', 'Excel', 'Power BI', 'AWS']"
3468028509,Data Analyst,"Gurugram, Haryana, India",Hybrid,Full-time · Mid-Senior level,200.0,2 days,Data Analyst,"['SQL', 'Excel']"
3473479523,Data Analyst - 10 to 15 Years - Permanent Remote - upto 27L,India,Remote,Full-time · Mid-Senior level,200.0,1 day,Data Analyst,['SQL']
3466126584,Sr. Associate; Data Analyst (Google Analytics),"Mumbai, Maharashtra, India",Hybrid,Full-time · Associate,200.0,1 day,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau', 'A/B Testing']"
3466799076,Senior Data Analyst [T500-4357],"Bengaluru, Karnataka, India",On-site,Full-time · Director,200.0,5 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'LLMs']"
3463550965,Senior Data Analyst,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,200.0,2 days,Data Analyst,"['Python', 'SQL', 'Tableau', 'A/B Testing']"
3472127640,Senior Data Analyst,"Chennai, Tamil Nadu, India",,Full-time · Associate,200.0,2 days,Data Analyst,"['SQL', 'Excel', 'Power BI']"
3461617423,Assistant Project Data Analyst,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,,6 days,Data Analyst,"['Python', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning']"
3460391675,Senior Data Analyst,India,Remote,Full-time · Mid-Senior level,,5 days,Data Analyst,"['SQL', 'Power BI']"
3467356873,Sr Data Analyst -Data Governance / Collibra,India,Remote,Full-time · Mid-Senior level,23.0,11 hours,Data Analyst,"['SQL', 'AWS', 'Azure']"
3410496892,Data Analyst 2,"Bengaluru, Karnataka, India",On-site,Full-time · Associate,,4 days,Data Analyst,"['Excel', 'Power BI', 'Statistics', 'LLMs']"
3276415130,Senior Data Analyst,"Bengaluru, Karnataka, India",,Full-time,200.0,4 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Statistics', 'LLMs', 'AWS']"
3462799449,Data Analyst Trainer,"Gurugram, Haryana, India",On-site,Full-time,2.0,5 days,Data Analyst,"['Excel', 'AWS', 'Azure']"
3472408664,Data Analyst and Programmer,"Dehradun, Uttarakhand, India",On-site,Full-time · Mid-Senior level,52.0,1 day,Data Analyst,[]
3463535172,Sr Business Data Analyst (PowerBi)- Remote Work,India,Remote,Full-time · Mid-Senior level,,4 hours,Data Analyst,"['SQL', 'Excel', 'Tableau', 'Power BI']"
3472508072,"Data Analyst - GCP, Google BigQuery, Data Analytics, Power BI, Python - 6-9 Yrs","Bengaluru, Karnataka, India",Hybrid,Full-time,,11 hours,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau', 'Spark', 'GCP']"
3474692367,Data Scientist,"Bengaluru, Karnataka, India",Hybrid,Full-time · Associate,,8 hours,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'A/B Testing', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark', 'AWS', 'Azure', 'GCP']"
3474246777,Power BI Analyst,"Bengaluru, Karnataka, India",Hybrid,Contract · Mid-Senior level,,17 hours,Data Analyst,"['Excel', 'Power BI']"
3466109731,Business Intelligence Analyst,India,Remote,Full-time · Mid-Senior level,,1 day,Data Analyst,"['Python', 'SQL', 'Tableau', 'Power BI']"
3471657636,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Delhi, Delhi, India",Remote,Full-time · Associate,200.0,13 hours,Data Analyst,['Excel']
3471669068,"Data Analyst, Trilogy (Remote) - $60,000/year USD","New Delhi, Delhi, India",Remote,Full-time · Associate,200.0,13 hours,Data Analyst,['Excel']
3474349934,Data Analyst - WFH,Greater Bengaluru Area,Remote,Full-time · Mid-Senior level,200.0,13 hours,Data Analyst,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3472504479,Data Analyst,"Gurugram, Haryana, India",On-site,Full-time · Entry level,200.0,14 hours,Data Analyst,"['SQL', 'Excel', 'Tableau', 'Power BI']"
3471658510,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Bengaluru, Karnataka, India",Remote,Full-time · Associate,200.0,13 hours,Data Analyst,['Excel']
